Title,FirstClassificationId,FirstClassificationLabel,FirstClassificationName,FirstClassificationScore,SecondClassificationId,SecondClassificationLabel,SecondClassificationName,SecondClassificationScore,ThirdClassificationId,ThirdClassificationLabel,ThirdClassificationName,ThirdClassificationScore,RequestId
孙国友女儿晒供水协议,112,social,社会,0.2055506855249405,11204,social_community,社会_社区新闻,0.39590755105018616,,,,,d1cc7a85-0ce9-462c-8143-1442d897cfd0
蔡徐坤吃披萨随拍,139,other,其他,0.13007725775241852,0,,UNKNOWN,0,,,,,9f9ef3e2-a0ca-467d-9f14-adae21fc8830
gidle鸟叔合作舞台,104,ent,娱乐,0.16418132185935974,10402,ent_domestic,娱乐_内地明星,0.17254172265529633,10402001,ent_domestic_news,娱乐_内地明星_明星资讯,0.17254172265529633,d3884329-9f62-46fd-aa3f-6edcff9a9708
库克,139,other,其他,0.11384296417236328,0,,UNKNOWN,0,,,,,fefcabe2-5182-4d01-97a9-b3a89a8a8697
治沙英雄孙国友,112,social,社会,0.1536923050880432,11206,social_positive,社会_正能量,0.774652361869812,,,,,2e463883-f8d8-4b7a-acbd-4efe72c4a906
王嘉尔和小宝宝贴贴,139,other,其他,0.11763397604227066,0,,UNKNOWN,0,,,,,71221ea6-0195-4417-9de5-0a2d38095a52
人间昆虫记,139,other,其他,0.09977708011865616,0,,UNKNOWN,0,,,,,105c88aa-9727-4f48-9d31-6568b6b0a4d3
直男并不直男癌,100,funny,搞笑,0.20701773464679718,10002,funny_reply,搞笑_神回复,0.06062812730669975,,,,,b6d424d2-8562-4529-bde2-2f62bc90ef73
EDG瓦电,139,other,其他,0.07920298725366592,0,,UNKNOWN,0,,,,,8468ddef-4a7c-4a19-becf-d375f017f028
光与夜之恋,139,other,其他,0.0875764712691307,0,,UNKNOWN,0,,,,,f69db060-4592-489d-bc1a-419c774c219c
王嘉尔被何展成亲脸颊,104,ent,娱乐,0.17107555270195007,10402,ent_domestic,娱乐_内地明星,0.22438393533229828,10402006,ent_domestic_other,娱乐_内地明星_明星其他,0.22438393533229828,8ec95928-ecbb-4afa-a0a7-c5ce6f6adaa9
内娱男菩萨图鉴,139,other,其他,0.0963832288980484,0,,UNKNOWN,0,,,,,5923e00b-f8de-49a4-bdee-e8808dc7b075
一个椰子的一生,139,other,其他,0.09571272134780884,0,,UNKNOWN,0,,,,,e1c4d266-1166-4ae9-a287-9f8c2ded9bd9
张真源严浩翔树枝击剑,110,sports,体育,0.22281086444854736,11014,sports_elite,体育_精英体育,0.5662599802017212,11014002,sports_elite_fencing,体育_精英体育_击剑,0.5662599802017212,df0c2b6f-edbc-467c-9ed5-f546e881848a
两翼齐飞看发展,139,other,其他,0.12023121863603592,0,,UNKNOWN,0,,,,,fd6f5ff2-03e0-4302-b3af-8fa65c0b28e2
研究表明母语塑造了大脑通路,139,other,其他,0.10735559463500977,0,,UNKNOWN,0,,,,,a1321b40-1d64-47e3-9560-48da55df9425
小S模仿二女儿讲英语,100,funny,搞笑,0.15521064400672913,10001,funny_duanzi,搞笑_段子,0.0059587289579212666,,,,,40af9c67-58b5-49db-8340-87cd0b265892
吴磊周雨彤吻戏费牙,104,ent,娱乐,0.1539311408996582,10402,ent_domestic,娱乐_内地明星,0.32527244091033936,10402006,ent_domestic_other,娱乐_内地明星_明星其他,0.32527244091033936,8704d9f0-f42c-4fba-9cca-0310c33ac816
幸亏扎的是假手,100,funny,搞笑,0.17188040912151337,10001,funny_duanzi,搞笑_段子,0.034256719052791595,,,,,8799a12a-2169-42a0-a518-74ef3d045cbe
黑马情侣 剧本,139,other,其他,0.09164664894342422,0,,UNKNOWN,0,,,,,c302c570-a0fa-4895-bd89-92772309aecc
618,139,other,其他,0.1125979796051979,0,,UNKNOWN,0,,,,,8c5e9d62-139a-4e90-87d0-0928df6333f6
中国生物物种名录2023版发布,112,social,社会,0.20897617936134338,11204,social_community,社会_社区新闻,0.13107699155807495,,,,,8d02c35e-1903-4d0f-85a5-864c249ca1a1
陈乔恩以为龚俊30多了,104,ent,娱乐,0.18483813107013702,10402,ent_domestic,娱乐_内地明星,0.32803553342819214,10402001,ent_domestic_news,娱乐_内地明星_明星资讯,0.32803553342819214,aa381c94-2501-4bf7-84f9-d2851b0279df
护心男主变小三,139,other,其他,0.13685442507266998,0,,UNKNOWN,0,,,,,2e91a3c4-5ce7-42f9-9e67-51bf10b0ac86
我国启动2023年珠峰综合科学考察,112,social,社会,0.15406544506549835,11204,social_community,社会_社区新闻,0.31453725695610046,,,,,660f52e5-08cb-4a6f-836b-6ddbeee1b3ab
大哥大嫂BE了,100,funny,搞笑,0.26146405935287476,10001,funny_duanzi,搞笑_段子,0.09144916385412216,,,,,96519936-2b05-4549-9fae-e7c8f8a2c310
迪丽热巴阿娜尔罕评分降了,139,other,其他,0.09541589021682739,0,,UNKNOWN,0,,,,,84a6c4e5-31db-4157-8226-784daf5d80a8
杭州女子捐款1000万,112,social,社会,0.32684552669525146,11204,social_community,社会_社区新闻,0.3708035945892334,,,,,9172f7c3-7938-438d-9a94-03ba3d777cce
安东尼宣布退役,139,other,其他,0.11234813183546066,0,,UNKNOWN,0,,,,,9ea757ce-f118-4dc2-aedf-4b7b2a888eb6
俄方证实乌军攻入俄境内,139,other,其他,0.12697932124137878,0,,UNKNOWN,0,,,,,3c632c8d-f52f-4856-bd42-350d9ff42992
丁程鑫和周也拉手不敢动,139,other,其他,0.149868905544281,0,,UNKNOWN,0,,,,,a9cef056-b960-42be-992b-4a74bf7f0050
戛纳电影节 假血,139,other,其他,0.1034875214099884,0,,UNKNOWN,0,,,,,9ac0674b-c672-4ea7-aa99-a5bdb1fb300a
四美四帅,139,other,其他,0.0926273837685585,0,,UNKNOWN,0,,,,,4ce9d156-7760-499a-8b22-8186b2daf8a2
黄瑞恩罗颖分手,100,funny,搞笑,0.1568722277879715,10001,funny_duanzi,搞笑_段子,0.007223760709166527,,,,,25cbb46d-be33-4d45-b793-9e40dee0cb5b
小慧君回应被指封号,139,other,其他,0.10427933186292648,0,,UNKNOWN,0,,,,,115f2059-a0c4-4ffc-8b48-768180b76d82
陈乔恩说听说全国观众都知道我喝大了,104,ent,娱乐,0.1753356009721756,10403,ent_gangaotai,娱乐_港台明星,0.17512258887290955,10403001,ent_gangaotai_news,娱乐_港台明星_明星资讯,0.17512258887290955,f680861d-ab03-4aff-9a26-10baeff22d3a
朱一龙为河边的错误增肥,139,other,其他,0.09606233239173889,0,,UNKNOWN,0,,,,,06c66463-b10c-46e5-a828-9bb5b9d9e024
俄罗斯,139,other,其他,0.11807610094547272,0,,UNKNOWN,0,,,,,7f8a42dd-c5b0-4d85-91cf-d1945679bf39
郑容和不参与哇唧唧哇新综艺录制,103,show,综艺,0.3945477306842804,10304,show_korea,综艺_韩国综艺,0.2137785702943802,,,,,b2271544-1b29-483a-84fb-e2d0fc3f1998
AI换脸用杨幂等明星卖货或涉侵权,139,other,其他,0.14079950749874115,0,,UNKNOWN,0,,,,,8d691f86-3472-47bb-a54f-537e9e794a96
招摇2.0,139,other,其他,0.085700623691082,0,,UNKNOWN,0,,,,,17da909e-912c-4317-8025-4fe9e5954b24
乌克兰,139,other,其他,0.11244101822376251,0,,UNKNOWN,0,,,,,2fc61b04-0029-4c04-bd8b-ffe8307bf0a1
一个人突然发朋友圈的规律,139,other,其他,0.10653873533010483,0,,UNKNOWN,0,,,,,441734f3-63f1-4eb6-bec4-bd2c562a36ef
徐州一餐厅被吐槽优先安排外国人,139,other,其他,0.13384632766246796,0,,UNKNOWN,0,,,,,2479fe1e-3e72-4b45-9252-d70e8e85eba0
这婚纱照新娘有点多余了,139,other,其他,0.12995989620685577,0,,UNKNOWN,0,,,,,82fb6011-b6ce-497f-b50f-e4db07f14a64
20岁我妈给我生了个弟弟,100,funny,搞笑,0.1547466218471527,10001,funny_duanzi,搞笑_段子,0.061063963919878006,,,,,84c7b04b-33b0-4c04-843f-4bb7764fbd05
朴彩英生图,104,ent,娱乐,0.20237697660923004,10405,ent_korea,娱乐_韩国明星,0.3846498131752014,10405006,ent_korea_other,娱乐_韩国明星_明星其他,0.3846498131752014,a0795fe3-c8f5-4a4b-beb5-8ed2b4a0b911
你可以接受婚前同居吗,139,other,其他,0.1291772723197937,0,,UNKNOWN,0,,,,,a6c9f05c-fdd5-4e43-99b5-ae5de66f0497
张雨绮也有撑伞神图了,139,other,其他,0.13248558342456818,0,,UNKNOWN,0,,,,,adb0ed64-6f25-4b7d-966b-a23cc3c24b65
易烊千玺或将开三场演唱会,104,ent,娱乐,0.2660191059112549,10402,ent_domestic,娱乐_内地明星,0.31678929924964905,10402006,ent_domestic_other,娱乐_内地明星_明星其他,0.31678929924964905,0e989783-4bed-49aa-9ea9-e6f55f25b8ac
AG 三组,139,other,其他,0.08148157596588135,0,,UNKNOWN,0,,,,,4f3284f2-959f-4550-a851-ac52598dceb1
起猛了看到婴儿会飞,139,other,其他,0.1185779720544815,0,,UNKNOWN,0,,,,,0b546a37-1b49-4f2f-938f-0fefe2a60469
TTG,139,other,其他,0.09295956790447235,0,,UNKNOWN,0,,,,,e8ca6e52-faba-48ec-a8bd-cae17d988419
当我问妈妈结婚有啥好处,100,funny,搞笑,0.21133291721343994,10001,funny_duanzi,搞笑_段子,0.1853921264410019,,,,,66271ad8-1bb9-4e7d-87e4-fa2e7012d861
小慧君巧乐兹夫妇已成被执行人,112,social,社会,0.1760006546974182,11204,social_community,社会_社区新闻,0.23916535079479218,,,,,3a3f280e-c5b5-44d1-a415-ccc1827f016c
周冬雨的卧蚕,139,other,其他,0.08897131681442261,0,,UNKNOWN,0,,,,,1af27f8e-c4af-48a6-bd61-c9791cf991af
毛晓彤眉心坠,139,other,其他,0.1282549649477005,0,,UNKNOWN,0,,,,,f5cf3cde-aae7-488c-8856-587e67d118c0
你猜这花为什么不发朋友圈,139,other,其他,0.12025731801986694,0,,UNKNOWN,0,,,,,225143f5-cb87-4aeb-8c1e-b87c8480bc6e
一兆韦德,139,other,其他,0.09969775378704071,0,,UNKNOWN,0,,,,,07497926-8b5b-4901-a9f9-569ed038adb3
